completiondate,performed,invoicedate,invoiceid,workorderid,amount,workcode,address,city,zip
03/10/26,INASB11,03/10/26,ASOFFICE20260310,353548828,0,E3RNN,"2431 W 800 N",FREMONT,46737
03/10/26,INASB11,03/10/26,ASOFFICE20260310,353548912,0,E3RNN,"3732 N 425 W",ANGOLA,46703
03/10/26,INASB11,03/10/26,ASOFFICE20260310,353550223,0,E3RNN,"280 LANE 201 MCCLISH LK",HUDSON,46747
03/10/26,INASB11,03/10/26,ASOFFICE20260310,353565495,0,FINT,"8377N HALL LAKE RD",KENDALLVILLE,46755
03/10/26,INASB11,03/10/26,ASOFFICE20260310,353575119,0,E3RNN,"2523 BELLEVUE DR","FORT WAYNE",46825
03/10/26,INASB11,03/10/26,ASOFFICE20260310,353576665,0,E3RNN,"2214 KLUG DR","FORT WAYNE",46818
03/10/26,INASB11,03/10/26,ASOFFICE20260310,353579256,0,E3RNN,"5548 COUNTY ROAD 17",GARRETT,46738
03/10/26,INASB11,03/10/26,ASOFFICE20260310,353580228,0,E3RNN,"412 S WALSH ST",GARRETT,46738
03/10/26,INASB11,03/10/26,ASOFFICE20260310,353595066,0,DF1,"7780  N 650 W",ORLAND,46776
03/10/26,INASB11,03/10/26,ASOFFICE20260310,353627196,0,FI,"608 LIBERTY STREET",BUTLER,46721
03/10/26,INASB11,03/10/26,ASOFFICE20260310,353629532,0,FI,"8425 W 300 N",ANGOLA,46703
03/10/26,INASB11,03/10/26,ASOFFICE20260310,353643444,0,FI,"6309  HILLSBORO LN","FORT WAYNE",46835
03/10/26,INASB11,03/10/26,ASOFFICE20260310,353649358,0,FIB,"348 N PARK LN",BUTLER,46721
03/10/26,INASB11,03/10/26,ASOFFICE20260310,353652662,0,FI,"1055N 200 E",ANGOLA,46703
03/10/26,INASB11,03/10/26,ASOFFICE20260310,353657458,0,E3RNN,"619 W WILLIAMS ST",KENDALLVILLE,46755
03/10/26,INASB11,03/10/26,ASOFFICE20260310,353673358,0,DFI,"23518   HARVEST LANE",WOODBURN,46797
03/10/26,INASB11,03/10/26,ASOFFICE20260310,353677218,0,DF1,"604E TOLEDO ST",FREMONT,46737
03/10/26,INASB11,03/10/26,ASOFFICE20260310,353677398,0,DF1,"1254E MAUMEE ST",ANGOLA,46703
03/10/26,INASB11,03/10/26,ASOFFICE20260310,353677706,0,FI,"612 S 900 W",ANGOLA,46703
03/10/26,INASB11,03/10/26,ASOFFICE20260310,353679705,0,E26RRN,"1528 Shavono Cv","Fort Wayne",46845
03/10/26,INASB11,03/10/26,ASOFFICE20260310,353680103,0,FI,"1306 Kiblinger Pl",Auburn,46706
03/10/26,INASB11,03/10/26,ASOFFICE20260310,353680479,0,FI,"609 E MITCHELL ST",KENDALLVILLE,46755
03/10/26,INASB11,03/10/26,ASOFFICE20260310,353681481,0,FI,"1218  QUAIL RUN",AUBURN,46706
03/10/26,INASB11,03/10/26,ASOFFICE20260310,353682304,0,FI,"1425 W 275 N",Angola,46703
03/10/26,INASB11,03/10/26,ASOFFICE20260310,353682745,0,FI,"5790 N State Rd 327",Orland,46776
03/10/26,INASB11,03/10/26,ASOFFICE20260310,353683186,0,FI,"207 N Broadway St",Butler,46721
03/10/26,INASB11,03/10/26,ASOFFICE20260310,353684212,0,FI,"3670 S 1000 W",Hudson,46747
03/10/26,INASB11,03/10/26,ASOFFICE20260310,353684416,0,FI,"8016 Grayfield Ct","Fort Wayne",46825
03/10/26,INASB11,03/10/26,ASOFFICE20260310,353685928,0,FI,"2131 W Candy Ln",Kendallville,46755
03/10/26,INASB11,03/10/26,ASOFFICE20260310,353692101,0,DFI,"5425    BRIGHTON DR","FORT WAYNE",46825
03/10/26,INASB11,03/10/26,ASOFFICE20260310,353696724,0,E3RNN,"237 BROADMORE CIR",ANGOLA,46703
03/10/26,INASB11,03/10/26,ASOFFICE20260310,353703283,0,FI,"4250E BELLEFOUNTAIN RD",HAMILTON,46742
03/10/26,INASB11,03/10/26,ASOFFICE20260310,353705429,0,WFNCF,"1115  OAK BAY RUN","FORT WAYNE",46825
03/10/26,INASB11,03/10/26,ASOFFICE20260310,353711535,0,ILIS,"614 WARWICK AVE","FORT WAYNE",46825
03/10/26,INASB11,03/10/26,ASOFFICE20260310,353715055,0,FINT,"4028 CORE STREET",WOODBURN,46797
03/10/26,NCASB280,03/10/26,ASOFFICE20260310,353240918,0,E3RNN,"1050 MOUNTAIN CREST DR","KINGS MTN",28086
03/10/26,NCASB280,03/10/26,ASOFFICE20260310,353465998,0,FII,"2308 Joes Lake Rd",Shelby,28152
03/10/26,NCASB280,03/10/26,ASOFFICE20260310,353562643,0,DF1,"1353    MOONSHADOW LN",SHELBY,28150
03/10/26,NCASB280,03/10/26,ASOFFICE20260310,353584376,0,FI,"547  HOYLE ST",LINCOLNTON,28092
03/10/26,NCASB280,03/10/26,ASOFFICE20260310,353596569,0,FI,"1708  WINDEMERE RD","MOUNT HOLLY",28120
03/10/26,NCASB280,03/10/26,ASOFFICE20260310,353623744,0,FINT,"302 SOUTHGLENN DR",SHELBY,28152
03/10/26,NCASB280,03/10/26,ASOFFICE20260310,353623805,0,FINT,"144 RANDOLPH RD",DALLAS,28034
03/10/26,NCASB280,03/10/26,ASOFFICE20260310,353627809,0,FI,"3803 NORMAN ROAD",MORGANTON,28655
03/10/26,NCASB280,03/10/26,ASOFFICE20260310,353633602,0,E3RNN,"1128 NOLES DR","MOUNT HOLLY",28120
03/10/26,NCASB280,03/10/26,ASOFFICE20260310,353644451,0,FI,"656     SOUTHSIDE CHURCH RD",LINCOLNTON,28092
03/10/26,NCASB280,03/10/26,ASOFFICE20260310,353656958,0,FINT,"1782 US HIGHWAY 74 BUSINESS",ELLENBORO,28040
03/10/26,NCASB280,03/10/26,ASOFFICE20260310,353661068,0,USFINT,"219N SCRUGGS ST",GASTONIA,28052
03/10/26,NCASB280,03/10/26,ASOFFICE20260310,353662410,0,FI,"436  RED TIP LN",GESTONIA,28052
03/10/26,NCASB280,03/10/26,ASOFFICE20260310,353665761,0,DF1,"712     HANOVER DR",SHELBY,28150
03/10/26,NCASB280,03/10/26,ASOFFICE20260310,353672878,0,FIBI,"514 ST LUKES CHURCH ROAD","KINGS MOUNTAIN",28086
03/10/26,NCASB280,03/10/26,ASOFFICE20260310,353675133,0,FI,"608   E LEE AVE","BESSEMER CITY",28016
03/10/26,NCASB280,03/10/26,ASOFFICE20260310,353676191,0,FIB,"312     WOODWARD RIDGE DR","MOUNT HOLLY",28120
03/10/26,NCASB280,03/10/26,ASOFFICE20260310,353677226,0,FIB,"118  WESTOVER DR",LINCOLNTON,28092
03/10/26,NCASB280,03/10/26,ASOFFICE20260310,353677550,0,DF1,"1769  MARTIN RD","KINGS MOUNTAIN",28086
03/10/26,NCASB280,03/10/26,ASOFFICE20260310,353677983,0,WFNCF,"5227  SUNRIVER RD",GASTONIA,28054
03/10/26,NCASB280,03/10/26,ASOFFICE20260310,353678172,0,FII,"1227  LITHIA SPRINGS RD",SHELBY,28150
03/10/26,NCASB280,03/10/26,ASOFFICE20260310,353679184,0,WFNCF,"117 GREENHILL RIDGE DR",RUTHERFORDTON,28139
03/10/26,NCASB280,03/10/26,ASOFFICE20260310,353679245,0,E3RNN,"270 EMORY AVE","FOREST CITY",28043
03/10/26,NCASB280,03/10/26,ASOFFICE20260310,353680476,0,FI,"6018 Deep Green Dr",Shelby,28152
03/10/26,NCASB280,03/10/26,ASOFFICE20260310,353680783,0,FI,"3117 Yates Rd",Shelby,28150
03/10/26,NCASB280,03/10/26,ASOFFICE20260310,353680916,0,FI,"519 Lee Ave",Lincolnton,28092
03/10/26,NCASB280,03/10/26,ASOFFICE20260310,353682007,0,FI,"107 Olivia Ln",Lincolnton,28092
03/10/26,NCASB280,03/10/26,ASOFFICE20260310,353682321,0,FI,"53 Ranlo Ave",Gastonia,28054
03/10/26,NCASB280,03/10/26,ASOFFICE20260310,353682678,0,FI,"1034 Clineview Dr",Cherryville,28021
03/10/26,NCASB280,03/10/26,ASOFFICE20260310,353685170,0,FI,"3841  NC 73 HWY","IRON STATION",28080
03/10/26,NCASB280,03/10/26,ASOFFICE20260310,353686135,0,FI,"1104 Frederick St",Shelby,28150
03/10/26,NCASB280,03/10/26,ASOFFICE20260310,353687890,0,FINC,"307  CROSS CREEK DRIVE",CHERRYVILLE,28021
03/10/26,NCASB280,03/10/26,ASOFFICE20260310,353690996,0,FI,"1051 SYCAMORE AVE",GASTONIA,28052
03/10/26,NCASB280,03/10/26,ASOFFICE20260310,353699696,0,DFI,"728 MCSWAIN RD",SHELBY,28150
03/10/26,NCASB280,03/10/26,ASOFFICE20260310,353703722,0,FII,"1387  HARRIS HENRIETTA RD","FOREST CITY",28043
03/10/26,OHASB00,03/10/26,ASOFFICE20260310,353275183,0,E3RNN,"75 WICKHAM ST",ALDERSON,24910
03/10/26,OHASB00,03/10/26,ASOFFICE20260310,353363077,0,FI,"505  CADES FIELD DR",UNION,24983
03/10/26,OHASB00,03/10/26,ASOFFICE20260310,353488772,0,DFI,"13153  WOLF CREEK RD",ALDERSON,24910
03/10/26,OHASB00,03/10/26,ASOFFICE20260310,353503199,0,FI,"13160   WOLF CRK RD",Alderson,24910
03/10/26,OHASB00,03/10/26,ASOFFICE20260310,353514126,0,E3RNN,"372 RHODODENDRON DR",ALDERSON,24910
03/10/26,OHASB00,03/10/26,ASOFFICE20260310,353622543,0,WFFIF,"159  SUNSET DR W",RONCEVERTE,24970
03/10/26,OHASB00,03/10/26,ASOFFICE20260310,353637455,0,E3RNN,"113 LOOKOUT ST",HANOVER,24839
03/10/26,OHASB00,03/10/26,ASOFFICE20260310,353664074,0,WFFIF,"43  HOWELL AVE",ALDERSON,24910
03/10/26,OHASB00,03/10/26,ASOFFICE20260310,353680354,0,FII,"193 Little Run Rd",Ronceverte,24970
03/10/26,OHASB00,03/10/26,ASOFFICE20260310,353680615,0,FI,"56 Back Valley Rd",Lindside,24951
03/10/26,OHASB06,03/10/26,ASOFFICE20260310,353548341,0,E3RNN,"332 N LAKE ST","SOUTH AMHERST",44001
03/10/26,OHASB06,03/10/26,ASOFFICE20260310,353548351,0,E3RNN,"29940 LORAIN RD","NORTH OLMSTED",44070
03/10/26,OHASB06,03/10/26,ASOFFICE20260310,353548485,0,E3RNN,"9742 NICOLE LN","OLMSTED TWP",44138
03/10/26,OHASB06,03/10/26,ASOFFICE20260310,353548816,0,E3RNN,"102 E SCHAAF RD","BROOKLYN HTS",44131
03/10/26,OHASB06,03/10/26,ASOFFICE20260310,353548953,0,E3RNN,"610 UNIVERSITY AVE",ELYRIA,44035
03/10/26,OHASB06,03/10/26,ASOFFICE20260310,353548982,0,E3RNN,"39540 PENNY LN",ELYRIA,44035
03/10/26,OHASB06,03/10/26,ASOFFICE20260310,353549265,0,E3RNN,"726 GREY WOLFE DR",LAGRANGE,44050
03/10/26,OHASB06,03/10/26,ASOFFICE20260310,353549523,0,E3RNN,"3273 GLENBROOK DR",NORTON,44203
03/10/26,OHASB06,03/10/26,ASOFFICE20260310,353549574,0,E3RNN,"26985 COOK RD","OLMSTED TWP",44138
03/10/26,OHASB06,03/10/26,ASOFFICE20260310,353549635,0,E3RNN,"38668 E RIVER RD",ELYRIA,44035
03/10/26,OHASB06,03/10/26,ASOFFICE20260310,353549717,0,E3RNN,"18078 WILLIAMSBURG OVAL",STRONGSVILLE,44136
03/10/26,OHASB06,03/10/26,ASOFFICE20260310,353650386,0,FI,"4179 COLUMBIA RD UNIT 213","NORTH OLMSTED",44070
03/10/26,OHASB06,03/10/26,ASOFFICE20260310,353651658,0,FI,"12253   MELODY LN",GRAFTON,44044
03/10/26,OHASB06,03/10/26,ASOFFICE20260310,353659571,0,FI,"106     MONTICELLO CIRCLE",ELYRIA,44035
03/10/26,OHASB06,03/10/26,ASOFFICE20260310,353660572,0,FI,"9725  E RIVER RD",ELYRIA,44035
03/10/26,OHASB06,03/10/26,ASOFFICE20260310,353660860,0,ILIS,"1416 W 20TH STREET",LORAIN,44052
03/10/26,OHASB06,03/10/26,ASOFFICE20260310,353662912,0,DF1,"2714  W 37TH ST",LORAIN,44053
03/10/26,OHASB06,03/10/26,ASOFFICE20260310,353663200,0,DF1,"12160   COWLEY RD","COLUMBIA STATION",44028
03/10/26,OHASB06,03/10/26,ASOFFICE20260310,353665673,0,E1CNN,"1376 112TH ST W",CLEVELAND,44102
03/10/26,OHASB06,03/10/26,ASOFFICE20260310,353672944,0,FII,"14830S ISLAND RD","COLUMBIA STATION",44028
03/10/26,OHASB06,03/10/26,ASOFFICE20260310,353674825,0,FI,"1219W 9TH STREET",LORAIN,44052
03/10/26,OHASB06,03/10/26,ASOFFICE20260310,353678224,0,FI,"9275    AVON BELDEN RD","NORTH RIDGEVILLE",44039
03/10/26,OHASB06,03/10/26,ASOFFICE20260310,353678236,0,FI,"1600    NEW MEXICO AVE",LORAIN,44052
03/10/26,OHASB06,03/10/26,ASOFFICE20260310,353678654,0,E12RRD,"4948 SHADY MOSS LN","NORTH RIDGEVILLE",44039
03/10/26,OHASB06,03/10/26,ASOFFICE20260310,353684694,0,FI,"1005 Greenwich Ave",Grafton,44044
03/10/26,OHASB06,03/10/26,ASOFFICE20260310,353690862,0,FINT,"12526  NATIONAL DR",GRAFTON,44044
03/10/26,OHASB06,03/10/26,ASOFFICE20260310,353692099,0,DFI,"6970  INDEPENDENCE BLVD","NORTH RIDGEVILLE",44039
03/10/26,OHASB06,03/10/26,ASOFFICE20260310,353693755,0,FI,"4341 QUEEN ANNE AVE",LORAIN,44052
03/10/26,OHASB06,03/10/26,ASOFFICE20260310,353693807,0,ILIS,"5710 HOOVER BLVD",LORAIN,44053
03/10/26,OHASB06,03/10/26,ASOFFICE20260310,353695503,0,E3RNN,"125 TEAL ST",ELYRIA,44035
03/10/26,OHASB06,03/10/26,ASOFFICE20260310,353697001,0,E3RNN,"705 E 35TH ST",LORAIN,44055
